Ti/Ca;Ni/Ca;Cu/Ca;Zn/Ca;Br/Ca;Pb/Ca;Cluster
0,000306106;0;7,67763E-06;5,48069E-05;3,01324E-09;3,45067E-06;Green
0,000218322;0;4,11691E-05;9,03427E-05;2,8415E-09;0;Green
0,000156191;0;0;9,62818E-05;2,01834E-09;0;Green
0,000102591;0;3,94727E-05;6,31279E-05;2,82306E-09;0;Green
5,86169E-05;0;4,03423E-05;6,89097E-05;2,07271E-09;0;Green
0;0;1,14367E-05;0,000113591;2,95743E-09;1,02724E-05;Green
0;0;3,41035E-05;0,000116045;4,77181E-09;1,71478E-05;Green
0,00010127;0;1,92701E-05;8,21447E-05;5,6892E-09;1,23649E-05;Green
3,23151E-05;0;2,02101E-05;0,000101676;5,03515E-09;6,18832E-06;Green
6,3938E-05;0;1,1708E-05;0,000140036;2,77864E-09;3,69157E-06;Green
0,000167147;0;9,85762E-06;0,00012944;1,95433E-09;1,9217E-06;Green
0,000104382;0;2,84046E-06;0,000143618;2,31166E-09;3,6288E-06;Green
2,50646E-05;0;4,20799E-05;0,000181768;3,44763E-09;0;Green
1,42743E-05;0;6,80173E-05;0,000118315;4,52203E-09;0;Green
0;0;8,4759E-05;5,24162E-05;3,64637E-09;0;Green
0;0;5,43905E-05;5,65107E-05;3,08236E-09;0;Green
3,28181E-06;0;6,62943E-05;4,84068E-05;3,52058E-09;0;Green
2,38357E-05;0;4,45069E-05;5,196E-05;3,6391E-09;0;Green
0;0;2,29129E-06;4,21568E-05;3,16873E-09;0;Green
0;0;1,19012E-06;2,88326E-05;4,18213E-09;0;Green
0;0;1,84686E-05;5,19698E-05;3,50659E-09;0;Green
5,00717E-05;0;1,77219E-05;3,89428E-05;3,36919E-09;0;Green
3,36549E-05;0;3,5872E-05;3,01008E-05;3,05107E-09;0;Green
0;0;1,99429E-05;2,71596E-05;3,89205E-09;0;Green
9,39094E-06;0;1,05294E-05;1,49286E-05;4,05566E-09;0;Green
0;3,46432E-06;2,74637E-05;2,45307E-06;4,31226E-09;2,46759E-06;Green
0;1,51536E-05;7,58355E-05;1,71078E-05;3,24071E-09;4,18062E-06;Green
